photograph,row,column,loc,ratio1,ratio2,date,time,treatment,cw/rw,CFUs lower,MCH lower,NP lower,CFUs middle,MCH middle,NP middle,CFUs upper,MCH upper,NP upper,alternative CFUs lower,alternative MCH lower, alternative NP lower, alternative CFUs middle, alternative MCH middle,alternative NP middle,alternative CFUs upper,alternative MCH upper,alternative NP upper
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,5,"('e', 5)",ratio1,ratio2,date,time,treatment,rotation,0.0024748567791215786,0.0,0.0024748567791215786,0.0016305294811002975,0.0,0.0016305294811002975,0.0009935544808975904,0.0,0.0009935544808975904,0,0,0,0.0016305294811002975,0.0,0.0016305294811002975,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,4,"('e', 4)",ratio1,ratio2,date,time,treatment,rotation,0.015674092934436664,0.0,0.015674092934436664,0.010326686713635218,0.0,0.010326686713635218,0.006292511712351406,0.0,0.006292511712351406,0,0,0,0.010326686713635218,0.0,0.010326686713635218,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,3,"('e', 3)",ratio1,ratio2,date,time,treatment,rotation,0.06929598981540419,0.0,0.06929598981540419,0.04565482547080833,0.0,0.04565482547080833,0.02781952546513253,0.0,0.02781952546513253,0,0,0,0.04565482547080833,0.0,0.04565482547080833,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,2,"('e', 2)",ratio1,ratio2,date,time,treatment,rotation,0.009899427116486314,0.0,0.009899427116486314,0.00652211792440119,0.0,0.00652211792440119,0.003974217923590362,0.0,0.003974217923590362,0,0,0,0.00652211792440119,0.0,0.00652211792440119,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,1,"('e', 1)",ratio1,ratio2,date,time,treatment,rotation,27.2737466581795,8.027610439210694,19.246136218968807,17.968978391552312,5.288894126862332,12.680084264689981,10.949301564318413,3.2227595512048173,7.726542013113594,46.240483022358376,13.610179374204328,32.63030364815404,17.968978391552312,5.288894126862332,12.680084264689981,12.725142331334313,3.7454511365722207,8.979691194762092
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,f,12,"('f', 12)",ratio1,ratio2,date,time,treatment,rotation,12.979798854232971,4.601583704646721,8.37821514958625,8.551583618544027,3.0316978151924867,5.519885803351541,5.210862067480895,1.8473489648155863,3.3635131026653093,12.979798854232971,4.601583704646721,8.37821514958625,8.551583618544027,3.0316978151924867,5.519885803351541,8.551583618544027,3.0316978151924867,5.519885803351541
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,f,11,"('f', 11)",ratio1,ratio2,date,time,treatment,rotation,13.091167409293442,2.9195060471037553,10.171661362189687,8.624957445193541,1.9234812778713177,6.701476167322223,5.255572019121288,1.1720631026321908,4.083508916489096,8.624957445193541,1.9234812778713177,6.701476167322223,8.624957445193541,1.9234812778713177,6.701476167322223,8.624957445193541,1.9234812778713177,6.701476167322223
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,f,10,"('f', 10)",ratio1,ratio2,date,time,treatment,rotation,0.013199236155315085,0.0,0.013199236155315085,0.008696157232534921,0.0,0.008696157232534921,0.005298957231453815,0.0,0.005298957231453815,0,0,0,0.008696157232534921,0.0,0.008696157232534921,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,f,9,"('f', 9)",ratio1,ratio2,date,time,treatment,rotation,0.06517122851686823,0.0,0.06517122851686823,0.04293727633564117,0.0,0.04293727633564117,0.026163601330303213,0.0,0.026163601330303213,0,0,0,0.04293727633564117,0.0,0.04293727633564117,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,f,8,"('f', 8)",ratio1,ratio2,date,time,treatment,rotation,0.022273711012094206,0.0,0.022273711012094206,0.01467476532990268,0.0,0.01467476532990268,0.008941990328078313,0.0,0.008941990328078313,0,0,0,0.01467476532990268,0.0,0.01467476532990268,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,f,7,"('f', 7)",ratio1,ratio2,date,time,treatment,rotation,13.863322724379374,2.126726925525143,11.736595798854232,9.133682643296833,1.401168334092189,7.732514309204645,5.565561017161335,0.853794483917996,4.711766533243339,6.468225912043589,0.9922693484824977,5.475956563561092,9.133682643296833,1.401168334092189,7.732514309204645,6.468225912043589,0.9922693484824977,5.475956563561092
